,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
26304,26305,2013,1,1,0,4,,,,31.0,-10.0,67.0,1018.0,-5.0,NW,5.81,0.0,0.0
26305,26306,2013,1,1,1,4,,,,32.0,-11.0,73.0,1017.0,-7.0,NW,9.83,0.0,0.0
26306,26307,2013,1,1,2,4,,,,21.0,-11.0,73.0,1017.0,-7.0,NW,11.62,0.0,0.0
26307,26308,2013,1,1,3,4,,,,16.0,-14.0,72.0,1018.0,-10.0,NW,14.75,0.0,0.0
26308,26309,2013,1,1,4,4,,,,15.0,-15.0,66.0,1018.0,-10.0,cv,0.45,0.0,0.0
26309,26310,2013,1,1,5,4,,,,9.0,-15.0,78.0,1019.0,-12.0,NW,3.13,0.0,0.0
26310,26311,2013,1,1,6,4,,,,9.0,-15.0,72.0,1020.0,-11.0,cv,0.89,0.0,0.0
26311,26312,2013,1,1,7,4,,,,7.0,-16.0,45.0,1020.0,-6.0,NW,4.92,0.0,0.0
26312,26313,2013,1,1,8,4,,,,14.0,-18.0,38.0,1021.0,-6.0,NW,8.94,0.0,0.0
26313,26314,2013,1,1,9,4,,,,11.0,-19.0,32.0,1022.0,-5.0,NW,13.86,0.0,0.0
26314,26315,2013,1,1,10,4,,,,9.0,-22.0,21.0,1023.0,-3.0,NW,21.01,0.0,0.0
26315,26316,2013,1,1,11,4,,,,10.0,-22.0,21.0,1024.0,-3.0,NW,29.95,0.0,0.0
26316,26317,2013,1,1,12,4,,,,16.0,-23.0,19.0,1023.0,-3.0,NW,38.0,0.0,0.0
26317,26318,2013,1,1,13,4,,,,17.0,-23.0,21.0,1023.0,-4.0,NW,46.05,0.0,0.0
26318,26319,2013,1,1,14,4,,,,15.0,-23.0,21.0,1024.0,-4.0,NW,54.1,0.0,0.0
26319,26320,2013,1,1,15,4,,,,13.0,-25.0,19.0,1025.0,-5.0,NW,63.04,0.0,0.0
26320,26321,2013,1,1,16,4,,,,16.0,-25.0,20.0,1026.0,-6.0,NW,71.09,0.0,0.0
26321,26322,2013,1,1,17,4,,,,15.0,-25.0,22.0,1027.0,-7.0,NW,79.14,0.0,0.0
26322,26323,2013,1,1,18,4,,,,20.0,-27.0,20.0,1028.0,-8.0,NW,87.19,0.0,0.0
26323,26324,2013,1,1,19,4,,,,17.0,-26.0,23.0,1029.0,-9.0,NW,96.13,0.0,0.0
26324,26325,2013,1,1,20,4,,,,16.0,-26.0,25.0,1030.0,-10.0,NW,103.28,0.0,0.0
26325,26326,2013,1,1,21,4,,,,19.0,-27.0,23.0,1031.0,-10.0,NW,111.33,0.0,0.0
26326,26327,2013,1,1,22,4,,,,13.0,-27.0,25.0,1032.0,-11.0,NW,118.48,0.0,0.0
26327,26328,2013,1,1,23,4,,,,19.0,-28.0,23.0,1033.0,-11.0,NW,126.53,0.0,0.0
26328,26329,2013,1,2,0,4,,,,15.0,-28.0,25.0,1033.0,-12.0,NW,134.58,0.0,0.0
26329,26330,2013,1,2,1,4,,,,19.0,-28.0,25.0,1033.0,-12.0,NW,141.73,0.0,0.0
26330,26331,2013,1,2,2,4,,,,16.0,-28.0,25.0,1034.0,-12.0,NW,148.88,0.0,0.0
